线路,站点,归属线路
1号线,沣河森林公园,1
1号线,北槐,1
1号线,上林路,1
1号线,沣东自贸园,1
1号线,后卫寨,1
1号线,三桥,1
1号线,皂河,1
1号线,枣园,1
1号线,汉城路,1
1号线,开远门,1
1号线,劳动路,1
1号线,玉祥门,1
1号线,洒金桥,1
1号线,北大街,2
1号线,五路口,1
1号线,朝阳门,1
1号线,康复路,1
1号线,通化门,1
1号线,万寿路,1
1号线,长乐坡,1
1号线,浐河,1
1号线,半坡,1
1号线,纺织城,1
,,
2号线,北客站,2
2号线,北苑,2
2号线,运动公园,2
2号线,行政中心,4
2号线,凤城五路,2
2号线,市图书馆,2
2号线,大明宫西,2
2号线,龙首原,2
2号线,安远门,2
2号线,北大街,2
2号线,钟楼,2
2号线,永宁门,2
2号线,南稍门,2
2号线,体育场,2
2号线,小寨,3
2号线,纬一街,2
2号线,会展中心,2
2号线,三爻,2
2号线,凤栖原,2
2号线,航天城,2
2号线,韦曲南,2
,,
3号线,鱼化寨,3
3号线,丈八北路,3
3号线,延平门,3
3号线,科技路,3
3号线,太白南路,3
3号线,吉祥村,3
3号线,小寨,3
3号线,大雁塔,3
3号线,北池头,3
3号线,青龙寺,3
3号线,延兴门,3
3号线,咸宁路,3
3号线,长乐公园,3
3号线,通化门,1
3号线,胡家庙,3
3号线,石家街,3
3号线,辛家庙,3
3号线,广泰门,3
3号线,桃花潭,3
3号线,浐灞中心,3
3号线,香湖湾,3
3号线,务庄,3
3号线,国际港务区,3
3号线,双寨,3
3号线,新筑,3
3号线,保税区,3
,,
4号线,航天新城,4
4号线,航天东路,4
4号线,神舟大道,4
4号线,东长安街,4
4号线,飞天路,4
4号线,航天大道,4
4号线,金滹沱,4
4号线,曲江池西路,4
4号线,大唐芙蓉园,4
4号线,大雁塔,3
4号线,西安科技大学,4
4号线,建筑科技大学 · 李家村,4
4号线,和平门,4
4号线,大差市,4
4号线,五路口,1
4号线,火车站,4
4号线,含元殿,4
4号线,大明宫,4
4号线,大明宫北,4
4号线,余家寨,4
4号线,百花村,4
4号线,常青路,4
4号线,市中医医院,4
4号线,行政中心,4
4号线,文景路,4
4号线,凤城九路,4
4号线,凤城十二路,4
4号线,元朔路,4
4号线,北客站（北广场）,4
